,title,authors,manufacturer,rank,price,currency,reldate,page,language
B005HSG3L0,"MarBlue Atlas 1.0 Kindle Case Cover, Pink (fits Kindle Paperwhite, Kindle, and Kindle Touch)",,MarBlue (Kindle Accessories),,,,,,
B005HSG446,"Marware Eco-Vue Genuine Leather Case Cover for Kindle, Black (fits Kindle Paperwhite, Kindle, and Kindle Touch)",,MarBlue (Kindle Accessories),,,,,,
B005K2XM94,"Timbuk2 Kindle Fire Ballistic Envelope Sleeve with 360 degree protection, Black (does not fit Kindle Fire HD)",,Timbuk2 (Kindle Accessories),,,,,,
B005KDY8AU,"Marware Eco-Flip Genuine Leather Case Cover for Kindle, Black (fits Kindle Paperwhite, Kindle, and Kindle Touch)",,MarBlue (Kindle Accessories),,,,,,
B005KELR3A,"Belkin Grip Sleeve for Kindle Paperwhite, Kindle, and Kindle Touch (Blacktop)",,Belkin,,,,,,
B005KELU2S,Belkin Grip Sleeve for Kindle PNK,,Belkin Components,137068,,,,,
B005MJE5ZK,Good Eating's Best of the Best: Great Recipes of the Past Decade from the Chicago Tribune Test Kitchen,,Agate Surrey,2328802,,,2011-08-09,113,English
B005OOKNP4,"AmazonBasics Bluetooth Keyboard for Android Devices, Kindle, Kindle Fire - Black",,AmazonBasics,,2399,USD,,,English
B005P2K36O,"JIVO Kindle Case Cover Brown Textured Leather Red Binding (Kindle Paperwhite, Kindle, and Kindle Touch)",,PCH International,,,,,,
B005S1CYYQ,"Marware SportGrip Silicone Skin Case for Kindle Cover, Black (does not fit Kindle Paperwhite or Touch)",,MarBlue (Kindle Accessories),,,,2011-10-28,,
B005YFNC92,The Wall Street Journal,,"Dow Jones & Company, Inc.",,0,USD,2017-12-01,,English
B005Z1XCUO,Slow Cooker 101: Master the Slow Cooker with 101 Great Recipes,,Agate Surrey,1227950,,,2011-11-08,118,English
B005ZISF8Q,Better Homes and Gardens Magazine,,Meredith Corporation,,0,USD,2015-04-16,,English
B00609P9CY,Marware SportGrip for Kindle Touch (Black),,Marware,,,,,,
B0060QU5ZS,Glamour Magazine  (Kindle Tablet Edition),,Condé Nast,,,,2011-10-28,,English
B006298622,"Bible: New American Bible, Revised Edition 2011",,,25518,,,2011-10-31,,English
B006BGZJJ4,"USB to Micro USB Cable, White",,"Amazon Digital Services, Inc",,,,,,
B006CDVRME,"Verve Folio Stand for Kindle Fire, Black (will not fit HD or HDX models)",,Belkin Inc.,,,,,,English
B006E76GJM,Case Logic FWS-101 Kindle Fire Water Resistant Sleeve Case (Black) (does not fit Kindle Fire HD),,Case Logic/Thule (Kindle Accessories),,,,,,
B006GWO5NE,Amazon 5ft USB to Micro-USB Cable (works with most Micro-USB Tablets),,"Amazon Digital Services, Inc",,,,2012-09-14,,
B006GWO5WK,Amazon Kindle 9W PowerFast Adapter for Accelerated Charging,,"Amazon Digital Services, Inc",,,,2012-09-14,,
B006GWO7UA,Kindle PowerFast International Charging Kit (for accelerated charging in over 200 countries),,"Amazon Digital Services, Inc",,2500,USD,2012-11-01,,
B006H9TJAA,"Volume 1, Taste and See, A Sampling of First Chapters by John 316 Marketing Network Authors",,Lorilyn Roberts,,,,2013-12-19,536,English
B006L4S3OY,New York Post for Tablet,,New York Post,,0,USD,2017-11-20,,English
B006PJ3UKC,USA TODAY,,USA TODAY,,0,USD,2017-12-01,,English
B006PWHCN0,Stupid 911 Calls (Volume 1),,,88283,,,2011-12-24,14,English
